Entities,neg,pos,neu,Count
Moon Jae-in,0,5,2,22
two days,9,8,3,22
executive,7,9,6,22
Los Angeles,5,6,8,22
Asian,5,3,5,22
Bob Price,0,0,9,22
General Electric,2,0,1,22
Diane Harkey,0,0,1,22
U.S. military,7,1,1,22
president-elect,8,11,3,22
Linda Moreno,1,0,1,22
Maduro,0,0,1,22
Sean Spicer,3,5,2,22
U.S. Environmental Protection Agency,0,1,0,22
Democratic National Convention,1,2,1,22
William Happer,1,0,0,22
Alexander Hamilton,0,0,1,22
Casa Blanca,2,1,5,22
Rick Perry,0,3,1,22
"Thu January 19, 2017",0,0,22,22
Ashraf Ghani,3,3,0,21
Catholic,2,5,3,21
Cuba,3,3,5,21
four years,5,6,10,21
Nigeria,2,2,7,21
Prince,7,5,9,21
George Soros,3,2,2,21
senator,7,10,4,21
Charlie Nash,0,7,0,21
vice president,2,11,8,21
tweet,6,6,3,21
September,4,6,8,21
Charles Krauthammer,1,0,0,21
Georgia,6,5,3,21
Russian President,7,5,4,21
Jeff Bagwell,0,0,3,21
Office of Government Ethics,1,4,0,21
Joe Biden,2,1,4,21
Kamiyah Mobley,2,0,0,21
BlackBerry Key2,1,0,0,21
Eevee,1,0,0,21
Tacita Dean,0,0,1,21
Libyan National Army,2,1,1,21
BBC News,5,9,3,20
commander,3,5,12,20
الملك,4,9,7,20
Sweden,2,1,3,20
The Times,6,3,4,20
African-American,3,2,5,20
African,6,4,4,20
Breitbart Texas,1,2,7,20
DACA,2,1,5,20
Shiite,4,4,3,20
Linda Tripp,0,0,2,20
tweeting,2,4,0,20
09-Jun-18,4,7,9,20
Governor,10,3,7,20
Steve Bannon,0,3,1,20
Scott Green,2,0,0,20
Rep. John Lewis,2,1,1,20
Nigerian,6,0,0,20
Barack Obama Casi,0,1,0,20
Central Italy,2,0,0,20
CNN Español,3,6,9,20
Isidro Baldenegro López,0,2,0,20
"Monday, 11 June 2018",2,0,16,20
Beyonce,0,1,1,19
Clive Churchhouse,1,0,0,19
Greece,2,2,2,19
رئیس,2,1,16,19
الخميس,5,10,0,19
Rusia,2,0,3,19
Steam,1,0,1,19
John Binder,0,3,10,19
Bob Corker,1,2,1,19
foreign minister,5,7,7,19
Ed Lieberman,0,0,1,19
Ronald Reagan,2,5,3,19
Ali Watkins,1,1,3,19
Muhammad Ali,0,1,1,19
President Putin,0,1,1,19
Asia,4,7,4,19
Sally Hernandez,1,0,0,19
President Gauck,0,0,1,19
Oscar López Rivera,1,0,2,19
Keith Ellison,0,0,1,19
martes,3,1,8,19
viernes,0,2,7,19
Bobby Paul Edwards,0,0,1,19
Huma Abedin,1,0,1,19
Malcolm Jenkins,1,1,0,19
Shenzhen Zhongxingxin Telecommunications Equipment,1,0,0,19
Ahed Tamimi,1,0,0,19
chief of staff,2,7,9,18
David Davis,2,0,0,18
Ireland,2,3,4,18
Premier League,1,1,0,18
Republic of Ireland,2,1,2,18
secretary,3,7,8,18
Spain,2,4,6,18
Vivian Balakrishnan,0,3,7,18
Rome,3,1,5,18
Boeing,7,1,1,18
Michael Moore,4,3,0,18
Abel Bodi,2,0,0,18
Ambassador,2,4,12,18
Lady Gaga,0,4,0,18
Monica Lewinsky,1,0,4,18
Rinat Akhmetshin,0,0,1,18
Minority Leader,6,6,6,18
Spanish,8,3,5,18
Breitbart News Daily,0,4,3,18
D.C.,5,4,5,18
March on Washington,2,2,7,18
Josh Earnest,1,2,4,18
Backpage.com,1,0,1,18
Mitt Romney,2,3,3,18
Jesus Christ,0,1,1,18
Jim Rutenberg,0,0,3,18
Veracruz,1,1,1,18
Osama bin Laden,2,0,3,18
Eric Holder Jr.,0,0,1,18
Josephine,0,0,1,18
Sara Wilkins,2,0,0,18
Fred Trump,0,0,1,18
Ivan Timofeev,1,0,0,18
Kim Yo Jong,0,1,2,18
Michael Ruhlman,0,2,0,18
Raghuveer Kura,1,0,0,18
Riyadh,2,5,5,18
SpaceX Starman,0,1,0,18
Yemeni,5,3,1,18
Daniel Essa,1,0,0,18
an hour,6,2,7,17
Australia,3,3,4,17
Baghdad,4,3,4,17
Glasgow,2,0,1,17
Irish,3,1,5,17
mayor,7,6,4,17
ministers,5,4,8,17
بي بي سي,4,7,0,17
secretary of state,3,1,13,17
Stefani Germanotta,0,1,0,17
Swedish,5,1,2,17
Zofija Kaczan,2,0,0,17
a week,8,5,4,17
two decades,9,1,4,17
Ohio,6,4,4,17
Colin Kaepernick,3,1,3,17
Jeff Denham,0,2,2,17
Andrew Harnik,1,6,0,17
Richard Grenell,1,0,1,17
West Wing,2,3,4,17
Philadelphia,3,5,2,17
Anna Krepa,1,0,0,17
Earth,3,5,1,17
Damascus,5,2,4,17
Manbij,1,3,0,17
Wikileaks,2,3,2,17
Health and Human Services,3,3,4,17
Ben Carson,1,3,1,17
John Kelly,1,2,5,17
HLN,2,1,1,17
Thomas Friedman,0,0,1,17
Bryan Colangelo,1,0,0,17
Chapecoense,1,0,1,17
Jesús Santrich,0,0,1,17
Department,2,3,6,16
Kabul,3,2,1,16
PA,5,3,3,16
Tierra,0,0,1,16
Senators,3,2,5,16
Bill de Blasio,1,2,0,16
Latino,4,2,4,16
Robert Menendez,0,0,2,16
Anthony J. Clark,1,0,0,16
Sebastian Kurz,2,1,4,16
"June 5, 2018",4,2,8,16
Clintons,3,2,2,16
Ben Kew,0,13,2,16
Lady Melania Trump,0,1,0,16
Wonsan,1,0,3,16
WASHINGTON,3,1,6,16
John Kerry,2,3,3,16
Warren Buffett,0,2,1,16
Somalia,1,0,2,16
prosecutor,4,0,12,16
"June 8, 2018",3,1,8,16
Korean Central News Agency,3,0,2,16
Korean,5,0,7,16
Jim Mattis,0,0,5,16
Dennis Miller Option,0,0,1,16
West Virginia,2,4,2,16
John Lasseter,0,1,0,16
Israel Defense Forces,0,1,1,16
Bill Ayers,0,1,1,16
Joint Comprehensive Plan of Action,1,1,1,16
Afghanistan Reconstruction,0,0,1,16
Syrians,7,1,2,16
Obamas,1,3,0,16
Alexis Manigo,0,0,1,16
Bedouin,1,0,0,16
Fabrizio Curcio,2,0,0,16
Kelsey Crowe,0,0,1,16
Knowles,0,1,0,16
Latin America,2,4,2,16
Navient,2,0,0,16
two minutes,13,1,0,16
Elon Musk,0,1,1,16
Marian Goodman Gallery Dean,0,0,1,16
Peter Coats,0,0,1,16
El Salvador,2,0,3,15
Eritrea,0,1,1,15
Harold Mary Wilson,1,0,0,15
Mackintosh's,0,1,0,15
Miami,4,2,2,15
minister,3,3,9,15
North of England,0,0,1,15
المصري,2,3,1,15
South Africa,3,3,2,15
مجلس النواب,3,3,0,15
a month,6,3,5,15
Philippines,0,3,3,15
press secretary,6,8,1,15
State of Israel,2,0,1,15
bkew@breitbart.com,0,15,0,15
Kim Il-sung,0,0,2,15
Deferred Action for Childhood Arrivals,1,1,2,15
Politico,3,1,7,15
Abdullah II,0,2,1,15
Hungary,1,3,3,15
Sheriff,5,0,10,15
Crimea,3,1,6,15
Bharath Ganesh,0,0,1,15
Gazans,0,1,0,15
senators,3,5,7,15
Russians,3,3,5,15
Kingdom of Saudi Arabia,1,3,0,15
Jerry Walker,1,0,0,15
Mohammad Javad Zarif,1,1,2,15
Oscar Lopez Rivera,0,2,0,15
Lee Greenwood,0,1,3,15
Jack Shafer,0,0,3,15
World Economic Forum,4,6,4,15
Bernard Smith,1,0,0,15
Recep Tayyip Erdogan,1,1,1,15
Bobby Ghassemi,1,0,0,15
Ecuador,0,0,3,15
Ejército de Liberación Nacional,0,1,0,15
Michael Lewis,0,0,1,15
Plasco,2,0,1,15
Randal McCloy,1,0,0,15
"Fri June 8, 2018",3,2,10,15
George Papadopoulos,0,1,0,15
Jimmy Cannon,0,1,0,15
MIRA,1,1,4,15
Ram Sanjeev Alur,1,0,0,15
Blue Abaya Laura Alho,0,1,0,15
Houthis,4,0,1,15
Shah Hussain,0,0,1,15
Pervez Musharraf,1,0,0,15
Saudi Arabia & Gulf,0,0,2,15
Conservative,5,4,1,14
estadounidense,3,2,4,14
Harold Wilson,1,0,0,14
House of Fraser,3,2,0,14
James Howell,1,0,0,14
اليمن,2,0,0,14
Queen,3,4,7,14
Super Bowl,5,2,3,14
two weeks,4,4,6,14
ژاپن,0,0,1,14
می,1,0,2,14
Valve,2,0,0,14
Westminster,3,3,3,14
Nielsen,2,1,0,14
six months,4,2,8,14
Hispanic,2,5,4,14
Mwanga II,1,0,0,14
Jews,6,3,0,14
Ted Cruz,3,0,3,14
Hungarian,1,2,2,14
Jun-12,4,5,3,14
North Koreans,1,3,4,14
Capitol,2,6,1,14
CNBC,3,5,2,14
The Washington Post,2,2,6,14
NAFTA,2,4,1,14
Tel Aviv,3,4,5,14
John McCain,4,2,1,14
Pakistani,2,2,6,14
Arab countries,3,1,2,14
Microsoft,1,3,3,14
DC,5,2,3,14
Debbie,0,2,0,14
Gaza,2,0,2,14
Jon Tester Rachel,1,0,0,14
Democratic People’s Republic of Korea,0,0,1,14
Alternative for Germany,2,0,2,14
Netflix,1,5,2,14
David Friedman,0,1,1,14
Islamic Republic of Iran,0,0,1,14
Libyan,6,1,0,14
Nike,1,0,2,14
Lacy MacAuley,0,2,0,14
Center for American Progress,0,3,2,14
Barbara Bush,1,0,1,14
Steve Harvey Defends Trump,1,0,0,14
Marc Lamont Hill,0,0,2,14
Bryan Harvey,3,0,0,14
Clinton Cash,0,1,0,14
Gen.,2,6,6,14
Lincoln Memorial,0,3,1,14
George Herbert Walker Bush,2,0,0,14
The Gambia,0,0,1,14
John Lewis,1,1,0,14
Bryce Virgin,1,0,0,14
Canadá,0,1,4,14
CDC,3,1,4,14
Julian Bailes,1,0,0,14
Nancy Sinatra,0,1,0,14
Netflix ( NFLX,0,1,0,14
دبي,3,8,2,14
الإمارات العربية المتحدة,0,10,3,14
President Lincoln,0,1,0,14
S&P Dow Jones Indices LLC,0,0,7,14
Anthony Weiner,1,0,1,14
Jerry Maren,0,0,1,14
Rockport,1,0,0,14
Sonos,1,0,0,14
Tony,0,2,0,14
Doha,1,1,2,14
Abu Abdullah al-Masry,0,0,2,14
Shafeeq Al-Ghabra,0,1,0,14
Field Communication Coordinator for Médecins Sans Frontières,0,1,0,14
Department of Health and Human Services,2,0,3,13
English Parliament,0,0,2,13
Estado,4,1,2,13
Frances Beatrix,2,0,0,13
Ghana,1,0,6,13
Judge,8,3,2,13
London Fire Brigade,0,2,1,13
Nathan Gault,1,0,0,13
دونالد ترامپ,0,0,3,13
سنگاپور,0,0,1,13
three months,6,2,2,13
Times,4,1,6,13
منبج,0,0,1,13
Vienna,3,3,1,13
Latinos,4,0,3,13
Christians,0,6,1,13
SiriusXM,3,1,6,13
Iran nuclear deal,5,0,2,13
Majority Leader,1,9,3,13
CEOs,4,2,7,13
Mark Warner,2,0,2,13
Maryland,2,4,4,13
NBC News,2,5,3,13
The Wall Street Journal,2,5,3,13
Oracle,1,2,2,13
Queen Rania,0,8,1,13
Islamist,3,3,4,13
Trey Gowdy,0,2,2,13
Starbucks,4,0,2,13
Howard Schultz,3,0,0,13
Ben Smith,0,3,1,13
South China Sea,2,1,2,13
Vietnam,4,4,4,13
Steve Scalise Slams Big Tech Bias,0,0,1,13
Congressman,5,4,4,13
Asia Argento,1,1,2,13
Loretta Lynch,4,0,1,13
Cressida Dick,0,0,1,13
Matt Rosendale,0,1,0,13
Ro Khanna Backs Trump,1,0,0,13
Milo,0,3,1,13
Irene Paisley,1,0,0,13
Tim Raines,0,0,3,13
Ray Dandridge,4,0,0,13
Chelsea Clinton,2,1,0,13
Coalition for Epidemic Preparedness Innovations,1,0,1,13
Vice President-elect,1,7,5,13
Beirut,1,2,8,13
NOAA,1,0,2,13
"Flint, Michigan",1,0,0,13
Gambian,1,2,0,13
gobernador,5,1,7,13
Lemurs of Madagascar,0,1,0,13
Savannah Faith Chrisley,1,0,0,13
Teherán,0,0,1,13
Backrub,0,1,0,13
Christian Lara,1,0,0,13
domingo,1,2,3,13
Jeddah,1,2,3,13
Rey Cruz,0,0,1,13
San Miguel Los Lotes,0,2,3,13
Texas A,1,0,0,13
Australian,3,2,3,12
Cardiff,0,2,0,12
chief executive,1,3,8,12
Conred,3,0,1,12
Dennis Rodman,1,2,3,12
Grenfell Tower,1,2,0,12
Guangzhou,3,0,0,12
king,3,5,4,12
Manodh Marks,1,0,0,12
Mrs,7,4,1,12
دونالد ترامب,0,0,3,12
خانم,0,0,12,12
Professor,2,3,7,12
San Francisco,2,3,7,12
Scotland,4,1,3,12
چین,0,0,2,12
Greek,2,3,2,12
Department of Homeland Security,3,1,1,12
a decade,4,3,4,12
UAS,0,0,1,12
Nancy Pelosi,3,2,5,12
Netherlands,3,1,6,12
Sadiq Khan,3,1,0,12
Steve King,4,0,0,12
Mike Lee,1,2,2,12
North Carolina,2,3,1,12
writer,0,1,11,12
a second,6,0,5,12
Budapest,1,1,0,12
Valerie Jarrett,2,0,2,12
Brazil,3,2,3,12
Belgium,3,1,4,12
Andrew Cuomo,1,1,2,12
United,2,2,1,12
Anne Schuchat,1,0,3,12
Communist,1,3,2,12
Gennifer Flowers,0,1,0,12
Foreign Ministry,3,2,3,12
Jodie Foster,0,0,1,12
"Bureau of Alcohol, Tobacco, Firearms",0,0,1,12
Joshua Gabriel Rea,0,0,1,12
Shiites,1,1,0,12
Kurds,0,0,3,12
Ankara,4,1,1,12
North Korean people,1,0,0,12
Al Franken,0,1,2,12
Cuban,1,0,3,12
Christine Lagarde,3,3,1,12
Randy Keith Holt,1,0,0,12
Alabama,4,5,2,12
John Podesta,1,2,7,12
Project Veritas,2,2,1,12
James O’Keefe,2,1,1,12
Hugo Chávez,1,0,1,12
Bradley Manning,0,1,0,12
Valoree Swanson,0,1,0,12
Secret Service,5,1,1,12
IPS,0,0,2,12
Luke Kuhn,2,0,0,12
founder,5,4,3,12
a day,2,3,5,12
Second Amendment Coalition,0,2,0,12
Daniel Defense,0,0,2,12
Robert A. Carr,0,0,2,12
Chris Murphy,1,2,2,12
Goldman Sachs,2,2,3,12
Neil W. McCabe,1,0,0,12
Economic Community of West African States,2,0,1,12
Malia Obama,0,2,0,12
BATS,0,3,9,12
DJIA,12,0,0,12
EE.UU,1,1,6,12
Grant Virgin,1,0,0,12
Hotel Rigopiano,2,0,0,12
IRNA,3,0,1,12
NBC Entertainment,0,1,1,12
Samsung Group,1,0,0,12
UNITED STATES,0,1,0,12
Blaise Compaore,1,0,0,12
Dubai,4,0,1,12
Josh Hawley,1,0,0,12
Maldives,1,1,1,12
Michael Patterson,1,0,0,12
Stephanie Clifford,1,1,1,12
Amman,2,1,1,12
Anwar Mohammed Gargash,0,0,1,12
Rasha,1,0,0,12
Khamenei,1,0,0,12
Amnesty International,2,4,3,11
Austrian,1,1,4,11
Carlos Moedas,0,0,1,11
Chile,1,2,3,11
clerics,5,3,3,11
David Cameron,2,1,3,11
Great Britain,1,1,0,11
