Tom Ciccotta,pos,58.410464,3
Georgetown College Democrats,pos,75.7193,2
March on Washington,neu,41.359156000000006,2
Georgetown,neu,59.626324,2
Georgetown Asks Students,neu,40.697924,1
Drew Angerer,neu,49.374799,1
Getty Images,neu,45.854405,1
17 Jan 2017,neg,50.580265999999995,1
Georgetown University,neg,50.06396600000001,1
Facebook,neu,78.883201,1
DC,neu,88.044015,1
College Democrats,neu,75.400955,1
Meredith Forsyth,neu,68.51903,1
president,neu,77.736547,1
Breitbart News,pos,67.788105,1
Twitter,pos,54.727227,1
tciccotta@breitbart.com,pos,60.211241,1
Tyrone Randolph,neg,81.786252,6
Deal Orangeburg-Calhoun Regional Detention Center,neg,42.160564,1
17 Jan 2017,neu,44.396363,1
South Carolina,neu,58.938513,1
two-year,neu,63.967896,1
33-year,neg,48.089452,1
Santee,pos,41.735505,1
Saturday,pos,36.629022,1
Associated Press,pos,52.060233,1
Bonner Avenue,neg,62.852343,1
WCCB,neu,70.588422,1
Palmetto Health Richland Hospital,neu,67.10014,1
Columbia,neu,39.849688,1
ten years,neg,55.246226,1
Sunday,neu,63.061924000000005,1
Orangeburg-Calhoun Regional Detention Center,neu,55.464718999999995,1
WIS,neu,75.709959,1
MILO,neu,51.717831999999994,5
Neil Lawrence,neg,86.448587,5
Peter Thiel,pos,57.277331,5
UC Berkeley,pos,46.467045,3
UC Milwaukee,neg,73.63708700000001,2
Donald Trump,pos,46.565893,2
Not Gay,neu,59.23402,1
One of Us,neu,78.18462600000001,1
Instagram,neu,62.49640600000001,1
17 Jan 2017,neu,78.65859499999999,1
Breitbart,neu,79.565871,1
The Daily Californian,pos,60.244766999999996,1
Feb. 1,neu,56.006327,1
Milo,neu,46.089338000000005,1
Berkeley,pos,68.630758,1
Technology entrepreneur,pos,60.873866,1
president-elect,neg,37.014659,1
"Wednesday, February 1",neu,78.905868,1
Ben Kew,pos,52.782426,1
Facebook,pos,54.39476,1
Twitter,pos,52.611308,1
bkew@breitbart.com,pos,49.056264,1
Randy Keith Holt,neg,93.240508,12
Alabama,neu,71.38682,2
2017 Jan. 17,neu,89.107508,1
UPI,neu,92.33964399999999,1
Alabama Law Enforcement Agency,neg,47.693178,1
51-year,neu,84.006225,1
Limestone County Sheriff’s Office,neu,71.031963,1
WAAY,neg,45.404348,1
Monday,neu,43.883096,1
three hours,neg,77.309918,1
WHNT,neg,46.209734000000005,1
Limestone County Jail,neu,77.029329,1
$500,neu,60.420761,1
Google,neg,97.957181,4
Boston Dynamics,neg,82.198728,3
Charlie Nash,pos,80.71955,3
Google Fiber,neu,58.782878000000004,2
Titan Aerospace,neg,88.073577,2
CBS News,neg,80.48566000000001,2
AFP,neu,65.886455,1
17 Jan 2017,pos,51.243461999999994,1
"Mountain View, Calif.",neu,54.941852999999995,1
chief executive officer,neu,45.585003,1
Craig Barratt,neu,68.466117,1
October,neu,86.17681900000001,1
Nest Ventures,pos,46.017514,1
Nest,neg,54.971199000000006,1
CEO,neg,41.855289,1
Tony Fadell,neg,45.178366,1
last June,neu,56.729738,1
$3.2 billion,neg,58.031478,1
CFRA,pos,58.347912,1
Analyst,pos,68.15437,1
Scott Kessler,pos,67.85502199999999,1
Breitbart Tech,pos,82.71677600000001,1
Twitter,pos,71.232032,1
Facebook,pos,70.853959,1
Cal Poly,pos,78.869391,8
The Satanic Temple,pos,40.220767,4
UC Davis,pos,86.663608,3
Facebook,pos,83.417732,2
One night,neg,49.729355,2
17 Jan 2017,pos,46.642537,1
San Luis Obispo,neg,55.266643,1
Anti-Racist Action,neg,50.960198999999996,1
GOD,neu,93.407491,1
SAVE AMERICA,neu,94.69476999999999,1
Poly University Union,pos,50.538194000000004,1
Invocation of My Demon Brother,pos,41.353511999999995,1
Cal Poly,neu,70.975443,1
Friday,neu,55.644916,1
Jewish state,neu,99.94559100000001,34
David Friedman,neu,85.917154,13
West Bank,neu,50.55837,8
Palestinians,neg,63.456022000000004,6
Palestinian,pos,34.549459999999996,5
Daniel Kurtzer,pos,53.189153,5
United States,neu,75.553237,5
Jerusalem,neu,45.330475,5
President Obama,neu,44.928507,3
John Kerry,neg,78.23831,3
American,neu,91.974429,3
Jewish,pos,48.491577,3
Tel Aviv,neg,40.331867,3
Shmuley Boteach,neg,42.513532,2
State Department,neg,68.446265,2
Jordan,neu,49.672567,2
Congress,neg,53.54471899999999,2
America,pos,39.068975,2
Rabbi,neg,59.838285,1
Pathetic Paris Peace,neg,56.12184,1
Parley Alex Brandon,neg,70.874434,1
Associated Press,neg,69.062552,1
17 Jan 2017,neg,73.84913,1
French,neg,64.5346,1
President,neu,68.174086,1
Secretary of State,pos,58.536467,1
five days,neg,54.390403,1
foreign ministers,neg,59.405343,1
one-day,neg,45.670572,1
UN,neg,50.572203,1
Israeli,neg,47.9856,1
Bibi,neg,65.340237,1
3 days,neg,40.642587,1
Obama administration,pos,53.775964,1
U.S. Middle East policy,neu,42.400856,1
president,pos,46.415708,1
president,neg,53.315383000000004,1
secretary of state,neg,58.65025000000001,1
ambassador,neu,81.83521999999999,1
Egypt,neu,77.719731,1
New York Times,neg,47.550181,1
Trump,pos,43.54904,1
ambassador,neg,48.513972,1
Mr. Friedman,neg,55.882234,1
Americans,pos,55.181146999999996,1
Judea and Samaria,neg,51.077211,1
Biblical,neu,59.087627,1
United Kingdom,neg,55.878018,1
Iraq,neg,50.920096,1
Pakistan,neg,54.627141,1
Ottoman Empire,neg,50.749882,1
British mandate,neu,63.52663,1
Palestinian state,neu,67.95984299999999,1
Eugene Rostow,neu,80.74379400000001,1
Undersecretary of State,neu,78.723383,1
Lyndon Johnson,neu,82.773453,1
UN Security Council,pos,44.516259000000005,1
Middle East,pos,59.707938000000006,1
Oslo accords,pos,67.871987,1
